Index,Total,Unsubmitted,Incomplete,Admit,Under Review,Admit-Coming,Not Coming (Fall),Program
1,22,6,3,3,3,5,2,Biology (MS)
2,49,12,2,0,30,1,4,Biology: Computational and Integrative (MS)
3,73,17,7,4,39,0,6,Biology: Computational and Integrative (PHD)
4,14,7,4,1,0,1,1,Business and Science - Computer and Information Sciences (MBS) Camden
5,15,3,3,1,6,2,0,Chemistry (MS)
6,15,5,2,1,4,3,0,Childhood Studies (MA)
7,38,8,2,13,0,3,12,Childhood Studies (PHD)
8,90,34,28,4,16,4,4,Computer Science: Scientific Computing (MS)
9,138,20,5,5,104,2,2,Creative Writing (MFA) Camden
10,26,6,10,0,1,9,0,Criminal Justice (MA)
11,363,116,43,85,68,29,22,Data Science (MS)
12,37,11,6,0,20,0,0,English (MA)
13,22,10,4,0,5,3,0,Forensic Science (MS)
14,20,2,0,15,0,3,0,"History (American, Global, Public) (MA)"
15,14,7,1,2,0,3,1,Liberal Studies (MA)
16,8,0,3,1,3,0,1,Mathematical Sciences (MS)
17,12,0,0,0,12,0,0,Prevention Science (MS)
18,46,6,2,2,33,2,1,Prevention Science (PHD)
19,127,32,17,2,73,3,0,Psychology: Psychological Sciences (MA)
20,30,11,4,4,5,6,0,Public Administration - On Campus (MPA)
21,13,2,4,1,0,3,3,"Public Administration, Executive Program (West Windsor, Saturday Morning) (MPA)"
22,25,7,3,0,5,3,7,Public Affairs/Community Development (MS)
23,27,4,1,5,7,3,7,Public Affairs/Community Development (PHD)
24,2,1,0,0,0,1,0,Teacher Education - Spanish (MAT)
25,8,4,2,0,1,1,0,Teacher Education (MAT)
