Index,program,months,value
1,Biology,3/22,3
2,CCIB,3/22,0
3,Chemistry,3/22,1
4,Childhood Studies,3/22,0
5,Computer Science,3/22,20
6,Criminal Justice,3/22,1
7,English,3/22,0
8,Forensic Science,3/22,1
9,History,3/22,0
10,Liberal Studies,3/22,4
11,MAT,3/22,0
12,Mathematical Sciences,3/22,0
13,MPA,3/22,0
14,Prevention Science,3/22,0
15,Psychology,3/22,3
16,Public Affairs,3/22,3
17,Biology,4/22,10
18,CCIB,4/22,21
19,Chemistry,4/22,7
20,Childhood Studies,4/22,1
21,Computer Science,4/22,32
22,Criminal Justice,4/22,0
23,English,4/22,22
24,Forensic Science,4/22,2
25,History,4/22,0
26,Liberal Studies,4/22,0
27,MAT,4/22,0
28,Mathematical Sciences,4/22,4
29,MPA,4/22,2
30,Prevention Science,4/22,0
31,Psychology,4/22,55
32,Public Affairs,4/22,6
33,Biology,5/22,14
34,CCIB,5/22,15
35,Chemistry,5/22,6
36,Childhood Studies,5/22,3
37,Computer Science,5/22,83
38,Criminal Justice,5/22,1
39,English,5/22,19
40,Forensic Science,5/22,3
41,History,5/22,0
42,Liberal Studies,5/22,10
43,MAT,5/22,2
44,Mathematical Sciences,5/22,11
45,MPA,5/22,3
46,Prevention Science,5/22,39
47,Psychology,5/22,40
48,Public Affairs,5/22,4
49,Biology,6/22,4
50,CCIB,6/22,3
51,Chemistry,6/22,4
52,Childhood Studies,6/22,3
53,Computer Science,6/22,5
54,Criminal Justice,6/22,4
55,English,6/22,13
56,Forensic Science,6/22,3
57,History,6/22,0
58,Liberal Studies,6/22,5
59,MAT,6/22,1
60,Mathematical Sciences,6/22,15
61,MPA,6/22,10
62,Prevention Science,6/22,3
63,Psychology,6/22,0
64,Public Affairs,6/22,0
65,Biology,1/23,2
66,CCIB,1/23,33
67,Chemistry,1/23,2
68,Childhood Studies,1/23,0
69,Computer Science,1/23,0
70,Criminal Justice,1/23,1
71,English,1/23,0
72,Forensic Science,1/23,0
73,History,1/23,0
74,Liberal Studies,1/23,0
75,MAT,1/23,0
76,Mathematical Sciences,1/23,0
77,MPA,1/23,0
78,Prevention Science,1/23,1
79,Psychology,1/23,0
80,Public Affairs,1/23,0
81,Biology,2/23,2
82,CCIB,2/23,24
83,Chemistry,2/23,2
84,Childhood Studies,2/23,1
85,Computer Science,2/23,1
86,Criminal Justice,2/23,0
87,English,2/23,11
88,Forensic Science,2/23,1
89,History,2/23,7
90,Liberal Studies,2/23,0
91,MAT,2/23,0
92,Mathematical Sciences,2/23,2
93,MPA,2/23,1
94,Prevention Science,2/23,35
95,Psychology,2/23,54
96,Public Affairs,2/23,12
97,Biology,3/23,17
98,CCIB,3/23,0
99,Chemistry,3/23,13
100,Childhood Studies,3/23,1
101,Computer Science,3/23,1
102,Criminal Justice,3/23,0
103,English,3/23,10
104,Forensic Science,3/23,0
105,History,3/23,4
106,Liberal Studies,3/23,0
107,MAT,3/23,0
108,Mathematical Sciences,3/23,0
109,MPA,3/23,2
110,Prevention Science,3/23,2
111,Psychology,3/23,2
112,Public Affairs,3/23,2
