Program,Value,Status
Biology,23,Admit-Coming
Biology: Computational and Integrative,28,Admit-Coming
Business and Science,1,Admit-Coming
Chemistry,6,Admit-Coming
Childhood Studies,12,Admit-Coming
Computer Science,22,Admit-Coming
Creative Writing,8,Admit-Coming
Criminal Justice,19,Admit-Coming
Data Science,82,Admit-Coming
English,14,Admit-Coming
Forensic Science,9,Admit-Coming
History,13,Admit-Coming
Liberal Studies,5,Admit-Coming
Mathematical Sciences,4,Admit-Coming
Prevention Science,15,Admit-Coming
Psychology,14,Admit-Coming
Public Administration,16,Admit-Coming
Public Affairs,6,Admit-Coming
Teacher Education,2,Admit-Coming
Teacher Education - Spanish,2,Admit-Coming
Biology,72,Total Applications
Biology: Computational and Integrative,145,Total Applications
Business and Science,26,Total Applications
Chemistry,44,Total Applications
Childhood Studies,56,Total Applications
Computer Science,247,Total Applications
Creative Writing,138,Total Applications
Criminal Justice,47,Total Applications
Data Science,402,Total Applications
English,82,Total Applications
Forensic Science,37,Total Applications
History,27,Total Applications
Liberal Studies,24,Total Applications
Mathematical Sciences,14,Total Applications
Prevention Science,82,Total Applications
Psychology,181,Total Applications
Public Administration,59,Total Applications
Public Affairs,77,Total Applications
Teacher Education,19,Total Applications
Teacher Education - Spanish,3,Total Applications
